PLATE,WELL, (Plate/Channel)_PairID_Condition_Replicate_Timepoint
1,A1,P_1_St-H_1_1
1,B1,P_1_St-N_1_1
1,C1,P_1_Sub_1_1
1,D1,P_1_St-H_1_3
1,E1,P_1_St-N_1_3
1,F1,P_1_Sub_1_3
1,G1,P_1_St-H_1_6
1,H1,P_1_St-N_1_6
1,A2,P_3_St-H_1_1
1,B2,P_3_St-N_1_1
1,C2,P_3_Sub_1_1
1,D2,P_3_St-H_1_3
1,E2,P_3_St-N_1_3
1,F2,P_3_Sub_1_3
1,G2,P_3_St-H_1_6
1,H2,P_3_St-N_1_6
1,A3,P_4_St-H_1_1
1,B3,P_4_St-N_1_1
1,C3,P_4_Sub_1_1
1,D3,P_4_St-H_1_3
1,E3,P_4_St-N_1_3
1,F3,P_4_Sub_1_3
1,G3,P_4_St-H_1_6
1,H3,P_4_St-N_1_6
1,A4,P_5_St-H_1_1
1,B4,P_5_St-N_1_1
1,C4,P_5_Sub_1_1
1,D4,P_5_St-H_1_3
1,E4,P_5_St-N_1_3
1,F4,P_5_Sub_1_3
1,G4,P_5_St-H_1_6
1,H4,P_5_St-N_1_6
1,A5,P_6_St-H_1_1
1,B5,P_6_St-N_1_1
1,C5,P_6_Sub_1_1
1,D5,P_6_St-H_1_3
1,E5,P_6_St-N_1_3
1,F5,P_6_Sub_1_3
1,G5,P_6_St-H_1_6
1,H5,P_6_St-N_1_6
1,A6,P_7_St-H_1_1
1,B6,P_7_St-N_1_1
1,C6,P_7_Sub_1_1
1,D6,P_7_St-H_1_3
1,E6,P_7_St-N_1_3
1,F6,P_7_Sub_1_3
1,G6,P_7_St-H_1_6
1,H6,P_7_St-N_1_6
1,A7,P_8_St-Gal_1_1
1,B7,P_8_St-G_1_1
1,C7,P_8_Sub_1_1
1,D7,P_8_St-Gal_1_3
1,E7,P_8_St-G_1_3
1,F7,P_8_Sub_1_3
1,G7,P_8_St-Gal_1_6
1,H7,P_8_St-G_1_6
1,A8,P_9_St-Gal_1_1
1,B8,P_9_St-G_1_1
1,C8,P_9_Sub_1_1
1,D8,P_9_St-Gal_1_3
1,E8,P_9_St-G_1_3
1,F8,P_9_Sub_1_3
1,G8,P_9_St-Gal_1_6
1,H8,P_9_St-G_1_6
1,A9,P_10_St-Gal_1_1
1,B9,P_10_St-G_1_1
1,C9,P_10_Sub_1_1
1,D9,P_10_St-Gal_1_3
1,E9,P_10_St-G_1_3
1,F9,P_10_Sub_1_3
1,G9,P_10_St-Gal_1_6
1,H9,P_10_St-G_1_6
1,A10,P_11_St-Gal_1_1
1,B10,P_11_St-G_1_1
1,C10,P_11_Sub_1_1
1,D10,P_11_St-Gal_1_3
1,E10,P_11_St-G_1_3
1,F10,P_11_Sub_1_3
1,G10,P_11_St-Gal_1_6
1,H10,P_11_St-G_1_6
1,A11,P_12_St-Gal_1_1
1,B11,P_12_St-G_1_1
1,C11,P_12_Sub_1_1
1,D11,P_12_St-Gal_1_3
1,E11,P_12_St-G_1_3
1,F11,P_12_Sub_1_3
1,G11,P_12_St-Gal_1_6
1,H11,P_12_St-G_1_6
1,A12,P_13_St-Gal_1_1
1,B12,P_13_St-G_1_1
1,C12,P_13_Sub_1_1
1,D12,P_13_St-Gal_1_3
1,E12,P_13_St-G_1_3
1,F12,P_13_Sub_1_3
1,G12,P_13_St-Gal_1_6
1,H12,P_13_St-G_1_6
2,A1,P_1_Sub_1_6
2,B1,P_1_Sub_2_6
2,C1,C_1_St-H_1_1
2,D1,C_1_St-H_1_3
2,E1,C_1_St-H_1_6
2,F1,C_8_St-Gal_1_1
2,G1,C_8_St-Gal_1_3
2,H1,C_8_St-Gal_1_6
2,A2,P_3_Sub_1_6
2,B2,P_3_Sub_2_6
2,C2,C_1_St-H_2_1
2,D2,C_1_St-H_2_3
2,E2,C_1_St-H_2_6
2,F2,C_8_St-Gal_2_1
2,G2,C_8_St-Gal_2_3
2,H2,C_8_St-Gal_2_6
2,A3,P_4_Sub_1_6
2,B3,P_4_Sub_2_6
2,C3,C_1_St-N_1_1
2,D3,C_1_St-N_1_3
2,E3,C_1_St-N_1_6
2,F3,C_8_St-G_1_1
2,G3,C_8_St-G_1_3
2,H3,C_8_St-G_1_6
2,A4,P_5_Sub_1_6
2,B4,P_5_Sub_2_6
2,C4,C_1_St-N_2_1
2,D4,C_1_St-N_2_3
2,E4,C_1_St-N_2_6
2,F4,C_8_St-G_2_1
2,G4,C_8_St-G_2_3
2,H4,C_8_St-G_2_6
2,A5,P_6_Sub_1_6
2,B5,P_6_Sub_2_6
2,C5,C_1_SubH_1_1
2,D5,C_1_SubH_1_3
